"","x"
"1",0
"2",0.00333333333333333
"3",0.00333333333333333
"4",0.00166666666666667
"5",0.00166666666666667
"6",0
"7",0
"8",0.00166666666666667
"9",0
"10",0.00166666666666667
"11",0.00166666666666667
"12",0.00166666666666667
"13",0.00333333333333333
"14",0.00333333333333333
"15",0.00333333333333333
"16",0.00333333333333333
"17",0.00333333333333333
"18",0
"19",0.00666666666666667
"20",0.00166666666666667
"21",0.00166666666666667
"22",0.00333333333333333
"23",0.00333333333333333
"24",0.005
"25",0.00333333333333333
"26",0.00166666666666667
"27",0.005
"28",0.00166666666666667
"29",0
"30",0.00666666666666667
"31",0.00666666666666667
"32",0.00333333333333333
"33",0.00333333333333333
"34",0.00666666666666667
"35",0
"36",0.005
"37",0.005
"38",0.00333333333333333
"39",0.00333333333333333
"40",0.005
"41",0.00333333333333333
"42",0.005
"43",0.005
"44",0.005
"45",0.00666666666666667
"46",0.00666666666666667
"47",0.00666666666666667
"48",0.00666666666666667
"49",0.00166666666666667
"50",0.00166666666666667
"51",0.005
"52",0
"53",0
"54",0.00166666666666667
"55",0.00166666666666667
"56",0.00333333333333333
"57",0.00166666666666667
"58",0
"59",0.00333333333333333
"60",0
"61",0.00166666666666667
"62",0.005
"63",0.005
"64",0.00166666666666667
"65",0.00166666666666667
"66",0.00166666666666667
"67",0.005
"68",0
"69",0
"70",0.00166666666666667
"71",0.00166666666666667
"72",0.00333333333333333
"73",0.00166666666666667
"74",0
"75",0.00333333333333333
"76",0
"77",0.00166666666666667
"78",0.005
"79",0.005
"80",0.00166666666666667
"81",0
"82",0.00333333333333333
"83",0.00333333333333333
"84",0.00166666666666667
"85",0.00166666666666667
"86",0
"87",0
"88",0.00166666666666667
"89",0
"90",0.00166666666666667
"91",0.00166666666666667
"92",0.00166666666666667
"93",0.00333333333333333
"94",0.00333333333333333
"95",0.00333333333333333
"96",0.00333333333333333
"97",0
"98",0.00333333333333333
"99",0.00333333333333333
"100",0.00166666666666667
"101",0.00166666666666667
"102",0
"103",0
"104",0.00166666666666667
"105",0
"106",0.00166666666666667
"107",0.00166666666666667
"108",0.00166666666666667
"109",0.00333333333333333
"110",0.00333333333333333
"111",0.00333333333333333
"112",0.00333333333333333
"113",0.00166666666666667
"114",0.005
"115",0.005
"116",0.00333333333333333
"117",0.00333333333333333
"118",0.00166666666666667
"119",0.00166666666666667
"120",0
"121",0.00166666666666667
"122",0.00333333333333333
"123",0
"124",0.00333333333333333
"125",0.005
"126",0.005
"127",0.005
"128",0.005
"129",0
"130",0.00333333333333333
"131",0.00333333333333333
"132",0.00166666666666667
"133",0.00166666666666667
"134",0
"135",0
"136",0.00166666666666667
"137",0
"138",0.00166666666666667
"139",0.00166666666666667
"140",0.00166666666666667
"141",0.00333333333333333
"142",0.00333333333333333
"143",0.00333333333333333
"144",0.00333333333333333
"145",0.00166666666666667
"146",0.00166666666666667
"147",0.005
"148",0
"149",0
"150",0.00166666666666667
"151",0.00166666666666667
"152",0.00333333333333333
"153",0.00166666666666667
"154",0
"155",0.00333333333333333
"156",0
"157",0.00166666666666667
"158",0.005
"159",0.005
"160",0.00166666666666667
"161",0.00166666666666667
"162",0.005
"163",0.005
"164",0.00333333333333333
"165",0.00333333333333333
"166",0.00166666666666667
"167",0.00166666666666667
"168",0
"169",0.00166666666666667
"170",0.00333333333333333
"171",0
"172",0.00333333333333333
"173",0.005
"174",0.005
"175",0.005
"176",0.005
"177",0.00166666666666667
"178",0.00166666666666667
"179",0.005
"180",0
"181",0
"182",0.00166666666666667
"183",0.00166666666666667
"184",0.00333333333333333
"185",0.00166666666666667
"186",0
"187",0.00333333333333333
"188",0
"189",0.00166666666666667
"190",0.005
"191",0.005
"192",0.00166666666666667
"193",0.00333333333333333
"194",0
"195",0.00666666666666667
"196",0.00166666666666667
"197",0.00166666666666667
"198",0.00333333333333333
"199",0.00333333333333333
"200",0.005
"201",0.00333333333333333
"202",0.00166666666666667
"203",0.005
"204",0.00166666666666667
"205",0
"206",0.00666666666666667
"207",0.00666666666666667
"208",0.00333333333333333
"209",0.00333333333333333
"210",0.00666666666666667
"211",0.00666666666666667
"212",0.005
"213",0.005
"214",0.00333333333333333
"215",0.00333333333333333
"216",0.005
"217",0.00333333333333333
"218",0.005
"219",0.005
"220",0.005
"221",0.00666666666666667
"222",0
"223",0.00666666666666667
"224",0.00666666666666667
"225",0.00333333333333333
"226",0.00666666666666667
"227",0.00666666666666667
"228",0.005
"229",0.005
"230",0.00333333333333333
"231",0.00333333333333333
"232",0.005
"233",0.00333333333333333
"234",0.005
"235",0.005
"236",0.005
"237",0.00666666666666667
"238",0.00666666666666667
"239",0
"240",0.00666666666666667
"241",0.00333333333333333
"242",0.00333333333333333
"243",0.00666666666666667
"244",0.00166666666666667
"245",0.00166666666666667
"246",0.00333333333333333
"247",0.00333333333333333
"248",0.005
"249",0.00333333333333333
"250",0.00166666666666667
"251",0.005
"252",0.00166666666666667
"253",0.00333333333333333
"254",0.00666666666666667
"255",0.00666666666666667
"256",0
